model_file,product_id,stable_item_id,display_name,tint_hex
"pastel+paw+print+plate+3d+model.glb",5040,"cat_plush_040","블루냥 기지개 인형",FFFFFFFF
"pink+cat+mug+3d+model.glb",5041,"cat_plush_041","줄무늬냥 앉은 인형",FFFFFFFF
"pirate+cat+3d+model.glb",5042,"cat_plush_042","줄무늬냥 잠자는 인형",FFFFFFFF
"plush+animal+3d+model.glb",5043,"cat_plush_043","줄무늬냥 식빵 인형",FFFFFFFF
"plush+cat+3d+model (1).glb",5044,"cat_plush_044","줄무늬냥 벌러덩 인형",FFFFFFFF
"plush+cat+3d+model (10).glb",5045,"cat_plush_045","줄무늬냥 기지개 인형",FFFFFFFF
"plush+cat+3d+model (11).glb",5046,"cat_plush_046","크림냥 앉은 인형",FFFFFFFF
"plush+cat+3d+model (12).glb",5047,"cat_plush_047","크림냥 잠자는 인형",FFFFFFFF
"plush+cat+3d+model (13).glb",5048,"cat_plush_048","크림냥 식빵 인형",FFFFFFFF
"plush+cat+3d+model (14).glb",5049,"cat_plush_049","크림냥 벌러덩 인형",FFFFFFFF
"plush+cat+3d+model (15).glb",5050,"cat_plush_050","크림냥 기지개 인형",FFFFFFFF
"plush+cat+3d+model (2).glb",5051,"cat_figure_001","우주비행사 냥이",FFFFFFFF
"plush+cat+3d+model (3).glb",5052,"cat_figure_002","요리사 냥이",FFFFFFFF
"plush+cat+3d+model (4).glb",5053,"cat_figure_003","마법사 냥이",FFFFFFFF
"plush+cat+3d+model (5).glb",5054,"cat_figure_004","해적 냥이",FFFFFFFF
"plush+cat+3d+model (6).glb",5055,"cat_figure_005","소방관 냥이",FFFFFFFF
"plush+cat+3d+model (7).glb",5056,"cat_figure_006","경찰 냥이",FFFFFFFF
"plush+cat+3d+model (8).glb",5057,"cat_figure_007","의사 냥이",FFFFFFFF
"plush+cat+3d+model (9).glb",5058,"cat_figure_008","닌자 냥이",FFFFFFFF
"plush+cat+3d+model.glb",5059,"cat_figure_009","사무라이 냥이",FFFFFFFF
"plush+cat+toy+3d+model (1).glb",5060,"cat_figure_010","기사 냥이",FFFFFFFF
"plush+cat+toy+3d+model (2).glb",5061,"cat_figure_011","발레리나 냥이",FFFFFFFF
"plush+cat+toy+3d+model.glb",5062,"cat_figure_012","록스타 냥이",FFFFFFFF
"plush+toy+3d+model.glb",5063,"cat_figure_013","탐정 냥이",FFFFFFFF
"police+cat+3d+model.glb",5064,"cat_figure_014","화가 냥이",FFFFFFFF
"racing+cat+3d+model.glb",5065,"cat_figure_015","야구 냥이",FFFFFFFF
"sailor+cat+3d+model (1).glb",5066,"cat_figure_016","축구 냥이",FFFFFFFF
"sailor+cat+3d+model.glb",5067,"cat_figure_017","수영 냥이",FFFFFFFF
"samurai+cat+3d+model.glb",5068,"cat_figure_018","스키 냥이",FFFFFFFF
"skiing+cat+3d+model.glb",5069,"cat_figure_019","카우보이 냥이",FFFFFFFF
"sleeping+cat+3d+model.glb",5070,"cat_figure_020","임금님 냥이",FFFFFFFF
"sleeping+cat+plush+3d+model (1).glb",5071,"cat_figure_021","천사 냥이",FFFFFFFF
"sleeping+cat+plush+3d+model (2).glb",5072,"cat_figure_022","악마 냥이",FFFFFFFF
"sleeping+cat+plush+3d+model (3).glb",5073,"cat_figure_023","공룡잠옷 냥이",FFFFFFFF
"sleeping+cat+plush+3d+model.glb",5074,"cat_figure_024","개구리잠옷 냥이",FFFFFFFF
"soccer+cat+mascot+3d+model.glb",5075,"cat_figure_025","꿀벌 냥이",FFFFFFFF
"soft+plush+cat+3d+model.glb",5076,"cat_figure_026","무당벌레 냥이",FFFFFFFF
"space+cat+3d+model.glb",5077,"cat_figure_027","상어잠옷 냥이",FFFFFFFF
"tiger+plush+3d+model (1).glb",5078,"cat_figure_028","토끼잠옷 냥이",FFFFFFFF
"tiger+plush+3d+model.glb",5079,"cat_figure_029","판다잠옷 냥이",FFFFFFFF
"wizard+cat+3d+model.glb",5080,"cat_figure_030","교복 냥이",FFFFFFFF
"3d+cat+baseball+model.glb",5081,"cat_figure_031","과학자 냥이",CCFFADFF
"3d+cat+character.glb",5082,"cat_figure_032","바리스타 냥이",FFADE3FF
"angelic+cat+3d+model.glb",5083,"cat_figure_033","집배원 냥이",ADFBFFFF
"bee+cat+3d+model.glb",5084,"cat_figure_034","정원사 냥이",FFEBADFF
"black+plush+cat+3d+model.glb",5085,"cat_figure_035","낚시꾼 냥이",D3ADFFFF
"bunny+hooded+cat+3d+model.glb",5086,"cat_figure_036","레이서 냥이",ADFFBBFF
"calico+cat+plush+3d+model.glb",5087,"cat_figure_037","파일럿 냥이",FFADB7FF
"cat+aviator+3d+model.glb",5088,"cat_figure_038","세일러 냥이",ADCFFFFF
"cat+chef+3d+model.glb",5089,"cat_figure_039","바이킹 냥이",E7FFADFF
"cat+doctor+3d+model.glb",5090,"cat_figure_040","히어로 냥이",FFADFFFF
"cat+figurine+3d+model.glb",5091,"cat_goods_001","냥이 얼굴 머그",ADFFE8FF
"cat+mug+3d+model.glb",5092,"cat_goods_002","꼬리 손잡이 머그",FFD0ADFF
"cat+scientist+3d+model.glb",5093,"cat_goods_003","발자국 접시",B8ADFFFF
"cat+shark+costume+3d+model.glb",5094,"cat_goods_004","냥귀 유리컵",BBFFADFF
"cute+cat+3d+model (1).glb",5095,"cat_goods_005","냥이 키링",FFADD2FF
"cute+cat+3d+model (2).glb",5096,"cat_goods_006","윙크냥 배지",ADEAFFFF
"cute+cat+3d+model (3).glb",5097,"cat_goods_007","빼꼼냥 스티커",FFFCADFF
"cute+cat+3d+model (4).glb",5098,"cat_goods_008","잠냥 쿠션",E4ADFFFF
"cute+cat+3d+model.glb",5099,"cat_goods_009","지퍼입 동전지갑",ADFFCCFF
"cute+royal+cat+3d+model.glb",5100,"cat_goods_010","실루엣 에코백",FFB4ADFF
"detective+cat+3d+model.glb",5101,"cat_goods_011","폰 받침 냥이",ADBEFFFF
"dinosaur+costume+character+3d+model.glb",5102,"cat_goods_012","냥이 캡 볼펜",D6FFADFF
"firefighter+cat+3d+model.glb",5103,"cat_goods_013","발도장 노트",FFADEEFF
"fishing+cat+3d+model.glb",5104,"cat_goods_014","앉은냥 지우개",ADFFF8FF
"frog+costume+3d+model.glb",5105,"cat_goods_015","냥귀 헤어핀",FFE1ADFF
"gray+plush+cat+3d+model.glb",5106,"cat_goods_016","냥이 얼굴 코스터",C9ADFFFF
"kawaii+cat+3d+model.glb",5107,"cat_goods_017","꼬리 시계",ADFFB1FF
"knight+cat+3d+model.glb",5108,"cat_goods_018","뚱냥 저금통",FFADC2FF
"ladybug+costume+cat+3d+model.glb",5109,"cat_goods_019","발바닥 비누받침",ADD9FFFF
"low-poly+cat+3d+model (1).glb",5110,"cat_goods_020","하품냥 칫솔꽂이",F1FFADFF
"low-poly+cat+3d+model (2).glb",5111,"cat_goods_021","냥귀 그릇",F5ADFFFF
"low-poly+cat+3d+model.glb",5112,"cat_goods_022","냥이 숟가락",ADFFDDFF
"ninja+cat+3d+model.glb",5113,"cat_goods_023","누운냥 젓가락받침",FFC5ADFF
"orange+blob+creature+3d+model.glb",5114,"cat_goods_024","뚱냥 자석",AEADFFFF
"orange+cat+3d+model.glb",5115,"cat_goods_025","대롱냥 책갈피",C5FFADFF
"orange+plush+cat+3d+model.glb",5116,"cat_goods_026","앉은냥 캔들",FFADDDFF
"panda+3d+model.glb",5117,"cat_goods_027","냥귀 손거울",ADF5FFFF
"panda+character+3d+model.glb",5118,"cat_goods_028","냥이 부채",FFF1ADFF
"panda+plush+3d+model.glb",5119,"cat_goods_029","냥이 얼굴 네임택",DAADFFFF
"pastel+paw+print+plate+3d+model.glb",5120,"cat_goods_030","냥발 슬리퍼",ADFFC2FF
"pink+cat+mug+3d+model.glb",5121,"cat_goods_031","발바닥 양말",FFADB1FF
"pirate+cat+3d+model.glb",5122,"cat_goods_032","냥주머니 앞치마",ADC9FFFF
"plush+animal+3d+model.glb",5123,"cat_goods_033","냥발 오븐장갑",E0FFADFF
"plush+cat+3d+model (1).glb",5124,"cat_goods_034","냥이 도시락",FFADF8FF
"plush+cat+3d+model (10).glb",5125,"cat_goods_035","냥귀 물병",ADFFEEFF
"plush+cat+3d+model (11).glb",5126,"cat_goods_036","꼬리 보온병",FFD6ADFF
"plush+cat+3d+model (12).glb",5127,"cat_goods_037","냥가족 쟁반",BEADFFFF
"plush+cat+3d+model (13).glb",5128,"cat_goods_038","길쭉냥 티슈케이스",B4FFADFF
"plush+cat+3d+model (14).glb",5129,"cat_goods_039","꼬리 열쇠걸이",FFADCCFF
"plush+cat+3d+model (15).glb",5130,"cat_goods_040","냥이 정리함",ADE4FFFF
"plush+cat+3d+model (2).glb",5131,"cat_seasonal_001","벚꽃 냥이",FCFFADFF
"plush+cat+3d+model (3).glb",5132,"cat_seasonal_002","화관 냥이",EBADFFFF
"plush+cat+3d+model (4).glb",5133,"cat_seasonal_003","소풍 냥이",ADFFD3FF
"plush+cat+3d+model (5).glb",5134,"cat_seasonal_004","나비 냥이",FFBBADFF
"plush+cat+3d+model (6).glb",5135,"cat_seasonal_005","튤립 냥이",ADB8FFFF
"plush+cat+3d+model (7).glb",5136,"cat_seasonal_006","봄모자 냥이",CFFFADFF
"plush+cat+3d+model (8).glb",5137,"cat_seasonal_007","새친구 냥이",FFADE7FF
"plush+cat+3d+model (9).glb",5138,"cat_seasonal_008","수박 냥이",ADFFFFFF
"plush+cat+3d+model.glb",5139,"cat_seasonal_009","튜브 냥이",FFE7ADFF
"plush+cat+toy+3d+model (1).glb",5140,"cat_seasonal_010","밀짚모자 냥이",CFADFFFF
"plush+cat+toy+3d+model (2).glb",5141,"cat_seasonal_011","빙수 냥이",ADFFB7FF
"plush+cat+toy+3d+model.glb",5142,"cat_seasonal_012","선글라스 냥이",FFADBBFF
"plush+toy+3d+model.glb",5143,"cat_seasonal_013","비치볼 냥이",ADD3FFFF
"police+cat+3d+model.glb",5144,"cat_seasonal_014","아이스바 냥이",EBFFADFF
"racing+cat+3d+model.glb",5145,"cat_seasonal_015","부채질 냥이",FBADFFFF
"sailor+cat+3d+model (1).glb",5146,"cat_seasonal_016","단풍 냥이",ADFFE4FF
"sailor+cat+3d+model.glb",5147,"cat_seasonal_017","도토리 냥이",FFCCADFF
"samurai+cat+3d+model.glb",5148,"cat_seasonal_018","독서 냥이",B4ADFFFF
"skiing+cat+3d+model.glb",5149,"cat_seasonal_019","군고구마 냥이",BFFFADFF
"sleeping+cat+3d+model.glb",5150,"cat_seasonal_020","낙엽 냥이",FFADD6FF
"sleeping+cat+plush+3d+model (1).glb",5151,"cat_seasonal_021","버섯 냥이",ADEEFFFF
"sleeping+cat+plush+3d+model (2).glb",5152,"cat_seasonal_022","수확 냥이",FFF8ADFF
"sleeping+cat+plush+3d+model (3).glb",5153,"cat_seasonal_023","산타 냥이",E0ADFFFF
"sleeping+cat+plush+3d+model.glb",5154,"cat_seasonal_024","눈사람 냥이",ADFFC8FF
"soccer+cat+mascot+3d+model.glb",5155,"cat_seasonal_025","목도리 냥이",FFB1ADFF
"soft+plush+cat+3d+model.glb",5156,"cat_seasonal_026","선물 냥이",ADC2FFFF
"space+cat+3d+model.glb",5157,"cat_seasonal_027","코코아 냥이",DAFFADFF
"tiger+plush+3d+model (1).glb",5158,"cat_seasonal_028","귀도리 냥이",FFADF2FF
"tiger+plush+3d+model.glb",5159,"cat_seasonal_029","썰매 냥이",ADFFF4FF
"wizard+cat+3d+model.glb",5160,"cat_seasonal_030","눈꽃우산 냥이",FFDDADFF
"3d+cat+baseball+model.glb",5161,"cat_retro_001","브라운관 냥이",99E4FFFF
"3d+cat+character.glb",5162,"cat_retro_002","다이얼전화 냥이",FFFC99FF
"angelic+cat+3d+model.glb",5163,"cat_retro_003","카세트 냥이",DE99FFFF
"bee+cat+3d+model.glb",5164,"cat_retro_004","붐박스 냥이",99FFC0FF
"black+plush+cat+3d+model.glb",5165,"cat_retro_005","LP 냥이",FFA399FF
"bunny+hooded+cat+3d+model.glb",5166,"cat_retro_006","오락기 냥이",99ADFFFF
"calico+cat+plush+3d+model.glb",5167,"cat_retro_007","게임패드 냥이",CBFF99FF
"cat+aviator+3d+model.glb",5168,"cat_retro_008","픽셀액자 냥이",FF99E9FF
"cat+chef+3d+model.glb",5169,"cat_retro_009","폴라로이드 냥이",99FFF8FF
"cat+doctor+3d+model.glb",5170,"cat_retro_010","필름카메라 냥이",FFDA99FF
"cat+figurine+3d+model.glb",5171,"cat_retro_011","타자기 냥이",BC99FFFF
"cat+mug+3d+model.glb",5172,"cat_retro_012","자명종 냥이",99FF9EFF
"cat+scientist+3d+model.glb",5173,"cat_retro_013","주크박스 냥이",FF99B1FF
"cat+shark+costume+3d+model.glb",5174,"cat_retro_014","네온사인 냥이",99CFFFFF
"cute+cat+3d+model (1).glb",5175,"cat_retro_015","자판기 냥이",EDFF99FF
"cute+cat+3d+model (2).glb",5176,"cat_retro_016","뽑기통 냥이",F399FFFF
"cute+cat+3d+model (3).glb",5177,"cat_retro_017","다루마 냥이",99FFD6FF
"cute+cat+3d+model (4).glb",5178,"cat_retro_018","마네키네코 냥이",FFB899FF
"cute+cat+3d+model.glb",5179,"cat_retro_019","종이등 냥이",9A99FFFF
"cute+royal+cat+3d+model.glb",5180,"cat_retro_020","종이접기 냥이",B6FF99FF
"detective+cat+3d+model.glb",5181,"cat_retro_021","목마 냥이",FF99D4FF
"dinosaur+costume+character+3d+model.glb",5182,"cat_retro_022","양철로봇 냥이",99F1FFFF
"firefighter+cat+3d+model.glb",5183,"cat_retro_023","만화경 냥이",FFEF99FF
"fishing+cat+3d+model.glb",5184,"cat_retro_024","오르골 냥이",D199FFFF
"frog+costume+3d+model.glb",5185,"cat_retro_025","스노우볼 냥이",99FFB3FF
"gray+plush+cat+3d+model.glb",5186,"cat_retro_026","우표 냥이",FF999CFF
"kawaii+cat+3d+model.glb",5187,"cat_retro_027","우체통 냥이",99BAFFFF
"knight+cat+3d+model.glb",5188,"cat_retro_028","우유병 냥이",D8FF99FF
"ladybug+costume+cat+3d+model.glb",5189,"cat_retro_029","병뚜껑 냥이",FF99F6FF
"low-poly+cat+3d+model (1).glb",5190,"cat_retro_030","성냥갑 냥이",99FFEBFF
"low-poly+cat+3d+model (2).glb",5191,"cat_retro_031","구슬 냥이",FFCD99FF
"low-poly+cat+3d+model.glb",5192,"cat_retro_032","라무네 냥이",AF99FFFF
"ninja+cat+3d+model.glb",5193,"cat_retro_033","불량식품 냥이",A1FF99FF
"orange+blob+creature+3d+model.glb",5194,"cat_retro_034","딱지 냥이",FF99BEFF
"orange+cat+3d+model.glb",5195,"cat_retro_035","켄다마 냥이",99DCFFFF
"orange+plush+cat+3d+model.glb",5196,"cat_retro_036","팽이 냥이",FAFF99FF
"panda+3d+model.glb",5197,"cat_retro_037","운세쪽지 냥이",E699FFFF
"panda+character+3d+model.glb",5198,"cat_retro_038","주판 냥이",99FFC8FF
"panda+plush+3d+model.glb",5199,"cat_retro_039","책가방 냥이",FFAB99FF
"pastel+paw+print+plate+3d+model.glb",5200,"cat_retro_040","스쿠터 냥이",99A5FFFF
